nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ARV1	ARV1	brown	protein_coding	False	0		0
ARVCF	ARVCF	brown	protein_coding	False	0		0
ARX	ARX	brown	protein_coding	False	0		0
ASAH1-AS1	ASAH1-AS1	brown	lncRNA	True	0		2
ASB16-AS1	ASB16-AS1	brown	lncRNA	True	0		2
ASB7	ASB7	brown	protein_coding	False	0		0
ASB8	ASB8	brown	protein_coding	False	0		0
ASCC2	ASCC2	brown	protein_coding	False	0		0
ASF1B	ASF1B	brown	protein_coding	False	0		0
ASH2L	ASH2L	brown	protein_coding	False	0		0
ASIC1	ASIC1	brown	protein_coding	False	0		0
ASMTL	ASMTL	brown	protein_coding	False	0		0
ASNS	ASNS	brown	protein_coding	False	0		0
ASNSP1	ASNSP1	brown	lncRNA	True	0		2
ASPSCR1	ASPSCR1	brown	protein_coding	False	0		0
ASRGL1	ASRGL1	brown	protein_coding	False	0		0
ASTE1	ASTE1	brown	protein_coding	False	0		0
ASTN2	ASTN2	brown	protein_coding	False	0		0
ATAT1	ATAT1	brown	protein_coding	False	0		0
ATE1	ATE1	brown	protein_coding	False	0		0
ATE1OSP	ATE1OSP	brown	lncRNA	True	0		2
ATF4	ATF4	brown	protein_coding	False	0		0
ATF6B	ATF6B	brown	protein_coding	False	0		0
ATF7	ATF7	brown	protein_coding	False	0		0
ATG10	ATG10	brown	protein_coding	False	0		0
ATG13	ATG13	brown	protein_coding	False	0		0
ATG16L2	ATG16L2	brown	protein_coding	False	0		0
ATG3	ATG3	brown	protein_coding	False	0		0
ATG4B	ATG4B	brown	protein_coding	False	0		0
ATG4D	ATG4D	brown	protein_coding	False	0		0
ATIC	ATIC	brown	protein_coding	False	0		0
ATMIN	ATMIN	brown	protein_coding	False	0		0
ATOH7	ATOH7	brown	protein_coding	False	0		0
ATP11A	ATP11A	brown	protein_coding	False	0		0
ATP13A2	ATP13A2	brown	protein_coding	False	0		0
ATP13A4	ATP13A4	brown	protein_coding	False	0		0
ATP1A3	ATP1A3	brown	protein_coding	False	0		0
ATP2A1	ATP2A1	brown	protein_coding	False	0		0
ATP2A1-AS1	ATP2A1-AS1	brown	lncRNA	True	0		2
ATP2A3	ATP2A3	brown	protein_coding	False	0		0
ATP5F1A	ATP5F1A	brown	protein_coding	False	0		0
ATP5F1B	ATP5F1B	brown	protein_coding	False	0		0
ATP5F1D	ATP5F1D	brown	protein_coding	False	0		0
ATP5MC2	ATP5MC2	brown	protein_coding	False	0		0
ATP5MF-PTCD1	ATP5MF-PTCD1	brown	protein_coding	False	0		0
ATP5PD	ATP5PD	brown	protein_coding	False	0		0
ATP5PO	ATP5PO	brown	protein_coding	False	0		0
ATP6AP1	ATP6AP1	brown	protein_coding	False	0		0
ATP6AP1-DT	ATP6AP1-DT	brown	lncRNA	True	0		2
ATP6V0A1	ATP6V0A1	brown	protein_coding	False	0		0
ATP6V0C	ATP6V0C	brown	protein_coding	False	0		0
ATP6V0D1	ATP6V0D1	brown	protein_coding	False	0		0
ATP6V0D1-DT	ATP6V0D1-DT	brown	lncRNA	True	0		2
ATP6V0E2	ATP6V0E2	brown	protein_coding	False	0		0
ATP6V0E2-AS1	ATP6V0E2-AS1	brown	lncRNA	True	0		2
ATP6V1B2	ATP6V1B2	brown	protein_coding	False	0		0
ATP6V1E1	ATP6V1E1	brown	protein_coding	False	0		0
ATP6V1E2	ATP6V1E2	brown	protein_coding	False	0		0
ATP6V1H	ATP6V1H	brown	protein_coding	False	0		0
ATP7B	ATP7B	brown	protein_coding	False	0		0
ATP8B1-AS1	ATP8B1-AS1	brown	lncRNA	True	0		2
ATPSCKMT	ATPSCKMT	brown	protein_coding	False	0		0
ATRAID	ATRAID	brown	protein_coding	False	0		0
ATRIP	ATRIP	brown	protein_coding	False	0		0
ATRN	ATRN	brown	protein_coding	False	0		0
ATXN2	ATXN2	brown	protein_coding	False	0		0
ATXN2L	ATXN2L	brown	protein_coding	False	0		0
ATXN7L3B	ATXN7L3B	brown	protein_coding	False	0		0
AUNIP	AUNIP	brown	protein_coding	False	0		0
AURKB	AURKB	brown	protein_coding	False	0		0
AURKC	AURKC	brown	protein_coding	False	0		0
AUTS2	AUTS2	brown	protein_coding	False	0		0
AXIN1	AXIN1	brown	protein_coding	False	0		0
AZIN1	AZIN1	brown	protein_coding	False	0		0
AZU1	AZU1	brown	protein_coding	False	0		0
B3GALT4	B3GALT4	brown	protein_coding	False	0		0
B3GALT6	B3GALT6	brown	protein_coding	False	0		0
B3GALT9	B3GALT9	brown	protein_coding	False	0		0
B3GNT4	B3GNT4	brown	protein_coding	False	0		0
B3GNTL1	B3GNTL1	brown	protein_coding	False	0		0
B4GALNT1	B4GALNT1	brown	protein_coding	False	0		0
B4GALNT4	B4GALNT4	brown	protein_coding	False	0		0
