nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ATAD3B	ATAD3B	blue	protein_coding	False	0		0
ATF5	ATF5	blue	protein_coding	False	0		0
ATG101	ATG101	blue	protein_coding	False	0		0
ATG14	ATG14	blue	protein_coding	False	0		0
ATG2A	ATG2A	blue	protein_coding	False	0		0
ATG4A	ATG4A	blue	protein_coding	False	0		0
ATG7	ATG7	blue	protein_coding	False	0		0
ATG9A	ATG9A	blue	protein_coding	False	0		0
ATN1	ATN1	blue	protein_coding	False	0		0
ATOX1	ATOX1	blue	protein_coding	False	0		0
ATP13A1	ATP13A1	blue	protein_coding	False	0		0
ATP1B3	ATP1B3	blue	protein_coding	False	0		0
ATP2A2	ATP2A2	blue	protein_coding	False	0		0
ATP5F1C	ATP5F1C	blue	protein_coding	False	0		0
ATP5F1E	ATP5F1E	blue	protein_coding	False	0		0
ATP5IF1	ATP5IF1	blue	protein_coding	False	0		0
ATP5MC1	ATP5MC1	blue	protein_coding	False	0		0
ATP5MC3	ATP5MC3	blue	protein_coding	False	0		0
ATP5ME	ATP5ME	blue	protein_coding	False	0		0
ATP5MF	ATP5MF	blue	protein_coding	False	0		0
ATP5MG	ATP5MG	blue	protein_coding	False	0		0
ATP5MJ	ATP5MJ	blue	protein_coding	False	0		0
ATP5MK	ATP5MK	blue	protein_coding	False	0		0
ATP5PB	ATP5PB	blue	protein_coding	False	0		0
ATP5PF	ATP5PF	blue	protein_coding	False	0		0
ATP6AP2	ATP6AP2	blue	protein_coding	False	0		0
ATP6V0B	ATP6V0B	blue	protein_coding	False	0		0
ATP6V0E1	ATP6V0E1	blue	protein_coding	False	0		0
ATP6V1C2	ATP6V1C2	blue	protein_coding	False	0		0
ATP6V1F	ATP6V1F	blue	protein_coding	False	0		0
ATP8B3	ATP8B3	blue	protein_coding	False	0		0
ATPAF1	ATPAF1	blue	protein_coding	False	0		0
ATXN10	ATXN10	blue	protein_coding	False	0		0
ATXN1L	ATXN1L	blue	protein_coding	False	0		0
ATXN7L3	ATXN7L3	blue	protein_coding	False	0		0
AUP1	AUP1	blue	protein_coding	False	0		0
AURKA	AURKA	blue	protein_coding	False	0		0
AURKAIP1	AURKAIP1	blue	protein_coding	False	0		0
AVEN	AVEN	blue	protein_coding	False	0		0
AVL9	AVL9	blue	protein_coding	False	0		0
AVPI1	AVPI1	blue	protein_coding	False	0		0
B3GAT3	B3GAT3	blue	protein_coding	False	0		0
B4GALT1	B4GALT1	blue	protein_coding	False	0		0
B4GALT1-AS1	B4GALT1-AS1	blue	lncRNA	True	0		2
B4GALT3	B4GALT3	blue	protein_coding	False	0		0
B9D1	B9D1	blue	protein_coding	False	0		0
B9D2	B9D2	blue	protein_coding	False	0		0
BABAM1	BABAM1	blue	protein_coding	False	0		0
BACE1	BACE1	blue	protein_coding	False	0		0
BAIAP2L2	BAIAP2L2	blue	protein_coding	False	0		0
BAK1	BAK1	blue	protein_coding	False	0		0
BANF1	BANF1	blue	protein_coding	False	0		0
BASP1	BASP1	blue	protein_coding	False	0		0
BAX	BAX	blue	protein_coding	False	0		0
BCAP31	BCAP31	blue	protein_coding	False	0		0
BCKDHA	BCKDHA	blue	protein_coding	False	0		0
BCL2L12	BCL2L12	blue	protein_coding	False	0		0
BCL2L2	BCL2L2	blue	protein_coding	False	0		0
BCL2L2-PABPN1	BCL2L2-PABPN1	blue	protein_coding	False	0		0
BCYRN1	BCYRN1	blue	scRNA	False	0		0
BET1L	BET1L	blue	protein_coding	False	0		0
BEX1	BEX1	blue	protein_coding	False	0		0
BFAR	BFAR	blue	protein_coding	False	0		0
BIN3	BIN3	blue	protein_coding	False	0		0
BLMH	BLMH	blue	protein_coding	False	0		0
BLOC1S1	BLOC1S1	blue	protein_coding	False	0		0
BLOC1S4	BLOC1S4	blue	protein_coding	False	0		0
BLVRA	BLVRA	blue	protein_coding	False	0		0
BMP1	BMP1	blue	protein_coding	False	0		0
BNIP1	BNIP1	blue	protein_coding	False	0		0
BOLA2-SMG1P6	BOLA2-SMG1P6	blue	protein_coding	False	0		0
BOLA3	BOLA3	blue	protein_coding	False	0		0
BORCS8	BORCS8	blue	protein_coding	False	0		0
BPNT1	BPNT1	blue	protein_coding	False	0		0
BRD3	BRD3	blue	protein_coding	False	0		0
BRD3OS	BRD3OS	blue	protein_coding	False	0		0
BRD4	BRD4	blue	protein_coding	False	0		0
BRD9	BRD9	blue	protein_coding	False	0		0
BRF2	BRF2	blue	protein_coding	False	0		0
BRK1	BRK1	blue	protein_coding	False	0		0
BRMS1	BRMS1	blue	protein_coding	False	0		0
BRPF1	BRPF1	blue	protein_coding	False	0		0
BRPF3	BRPF3	blue	protein_coding	False	0		0
BSDC1	BSDC1	blue	protein_coding	False	0		0
BSG-AS1	BSG-AS1	blue	lncRNA	True	0		2
BTD	BTD	blue	protein_coding	False	0		0
BTF3L4	BTF3L4	blue	protein_coding	False	0		0
BTN2A1	BTN2A1	blue	protein_coding	False	0		0
BUB1B	BUB1B	blue	protein_coding	False	0		0
BUB3	BUB3	blue	protein_coding	False	0		0
BUD23	BUD23	blue	protein_coding	False	0		0
BYSL	BYSL	blue	protein_coding	False	0		0
BZW2	BZW2	blue	protein_coding	False	0		0
C11orf24	C11orf24	blue	protein_coding	False	0		0
C11orf68	C11orf68	blue	protein_coding	False	0		0
C11orf98	C11orf98	blue	protein_coding	False	0		0
C12orf43	C12orf43	blue	protein_coding	False	0		0
C12orf57	C12orf57	blue	protein_coding	False	0		0
C12orf75	C12orf75	blue	protein_coding	False	0		0
C14orf119	C14orf119	blue	protein_coding	False	0		0
C17orf58	C17orf58	blue	protein_coding	False	0		0
C18orf21	C18orf21	blue	protein_coding	False	0		0
C19orf48P	C19orf48P	blue	lncRNA	True	0		2
C19orf53	C19orf53	blue	protein_coding	False	0		0
C1QBP	C1QBP	blue	protein_coding	False	0		0
C1orf122	C1orf122	blue	protein_coding	False	0		0
C1orf159	C1orf159	blue	protein_coding	False	0		0
C1orf174	C1orf174	blue	protein_coding	False	0		0
C1orf226	C1orf226	blue	protein_coding	False	0		0
C22orf23	C22orf23	blue	protein_coding	False	0		0
C2orf49	C2orf49	blue	protein_coding	False	0		0
C4orf3	C4orf3	blue	protein_coding	False	0		0
C8orf33	C8orf33	blue	protein_coding	False	0		0
C8orf44	C8orf44	blue	lncRNA	True	0		2
C9orf78	C9orf78	blue	protein_coding	False	0		0
C9orf85	C9orf85	blue	protein_coding	False	0		0
CA4	CA4	blue	protein_coding	False	0		0
CA5BP1	CA5BP1	blue	lncRNA	True	0		2
CAAP1	CAAP1	blue	protein_coding	False	0		0
CACTIN	CACTIN	blue	protein_coding	False	0		0
CACYBP	CACYBP	blue	protein_coding	False	0		0
CADM4	CADM4	blue	protein_coding	False	0		0
CALHM2	CALHM2	blue	protein_coding	False	0		0
CALM1	CALM1	blue	protein_coding	False	0		0
CALM3	CALM3	blue	protein_coding	False	0		0
CALML4	CALML4	blue	protein_coding	False	0		0
CALR	CALR	blue	protein_coding	False	0		0
CALU	CALU	blue	protein_coding	False	0		0
CAMK1	CAMK1	blue	protein_coding	False	0		0
CAMTA1	CAMTA1	blue	protein_coding	False	0		0
