nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
BRWD1	BRWD1	green	protein_coding	False	0		0
BTAF1	BTAF1	green	protein_coding	False	0		0
BTBD8	BTBD8	green	protein_coding	False	0		0
BZW1	BZW1	green	protein_coding	False	0		0
C12orf4	C12orf4	green	protein_coding	False	0		0
C18orf54	C18orf54	green	protein_coding	False	0		0
C1QL3	C1QL3	green	protein_coding	False	0		0
C2CD5	C2CD5	green	protein_coding	False	0		0
C2orf69	C2orf69	green	protein_coding	False	0		0
C5orf34	C5orf34	green	protein_coding	False	0		0
CACNA2D1	CACNA2D1	green	protein_coding	False	0		0
CAMK4	CAMK4	green	protein_coding	False	0		0
CAMSAP2	CAMSAP2	green	protein_coding	False	0		0
CAND1	CAND1	green	protein_coding	False	0		0
CAPS2	CAPS2	green	protein_coding	False	0		0
CAPZA1	CAPZA1	green	protein_coding	False	0		0
CAPZA2	CAPZA2	green	protein_coding	False	0		0
CASD1	CASD1	green	protein_coding	False	0		0
CASP8AP2	CASP8AP2	green	protein_coding	False	0		0
CBX3	CBX3	green	protein_coding	False	0		0
CCAR1	CCAR1	green	protein_coding	False	0		0
CCDC112	CCDC112	green	protein_coding	False	0		0
CCDC138	CCDC138	green	protein_coding	False	0		0
CCDC14	CCDC14	green	protein_coding	False	0		0
CCDC144A	CCDC144A	green	protein_coding	False	0		0
CCDC144BP	CCDC144BP	green	lncRNA	True	0		2
CCDC144CP	CCDC144CP	green	transcribed_processed_pseudogene	False	0		0
CCDC150	CCDC150	green	protein_coding	False	0		0
CCDC168	CCDC168	green	protein_coding	False	0		0
CCDC171	CCDC171	green	protein_coding	False	0		0
CCDC18	CCDC18	green	protein_coding	False	0		0
CCDC186	CCDC186	green	protein_coding	False	0		0
CCDC39	CCDC39	green	protein_coding	False	0		0
CCDC66	CCDC66	green	protein_coding	False	0		0
CCDC82	CCDC82	green	protein_coding	False	0		0
CCDC88A	CCDC88A	green	protein_coding	False	0		0
CCDC91	CCDC91	green	protein_coding	False	0		0
CCNC	CCNC	green	protein_coding	False	0		0
CCNE2	CCNE2	green	protein_coding	False	0		0
