nodeName	gene_name	module	biotype	is_robust_lnc
ABHD17AP5	ABHD17AP5	royalblue	processed_pseudogene	False
ABHD17AP6	ABHD17AP6	plum1	unprocessed_pseudogene	False
ABHD17B	ABHD17B	blue	protein_coding	False
ABHD17C	ABHD17C	brown	protein_coding	False
ABHD18	ABHD18	brown	protein_coding	False
ABHD2	ABHD2	brown	protein_coding	False
ABHD5	ABHD5	green	protein_coding	False
ABHD6	ABHD6	brown	protein_coding	False
ABHD8	ABHD8	brown	protein_coding	False
ABI1	ABI1	brown	protein_coding	False
ABI2	ABI2	blue	protein_coding	False
ABI3	ABI3	paleturquoise	protein_coding	False
ABL1	ABL1	blue	protein_coding	False
ABLIM1	ABLIM1	brown	protein_coding	False
ABLIM2	ABLIM2	brown	protein_coding	False
ABR	ABR	brown	protein_coding	False
ABRAXAS1	ABRAXAS1	green	protein_coding	False
ABRAXAS1P1	ABRAXAS1P1	royalblue	processed_pseudogene	False
ABT1	ABT1	blue	protein_coding	False
ABTB1	ABTB1	brown	protein_coding	False
ABTB2	ABTB2	blue	protein_coding	False
ACAA1	ACAA1	blue	protein_coding	False
ACAA2	ACAA2	brown	protein_coding	False
ACACA	ACACA	blue	protein_coding	False
ACACB	ACACB	brown	protein_coding	False
ACAD10	ACAD10	brown	protein_coding	False
ACAD11	ACAD11	brown	protein_coding	False
ACAD8	ACAD8	brown	protein_coding	False
ACAD9	ACAD9	blue	protein_coding	False
ACAD9-DT	ACAD9-DT	brown	lncRNA	True
ACADL	ACADL	magenta	protein_coding	False
ACADM	ACADM	green	protein_coding	False
ACADS	ACADS	brown	protein_coding	False
ACADSB	ACADSB	brown	protein_coding	False
ACADVL	ACADVL	blue	protein_coding	False
ACAP1	ACAP1	brown	protein_coding	False
ACAP2	ACAP2	green	protein_coding	False
ACAP3	ACAP3	brown	protein_coding	False
ACAT1	ACAT1	brown	protein_coding	False
ACAT2	ACAT2	blue	protein_coding	False
ACBD4	ACBD4	brown	protein_coding	False
ACBD5	ACBD5	brown	protein_coding	False
ACBD6	ACBD6	brown	protein_coding	False
ACBD7	ACBD7	brown	protein_coding	False
ACCS	ACCS	brown	protein_coding	False
ACD	ACD	brown	protein_coding	False
ACER1	ACER1	lightsteelblue1	protein_coding	False
ACER2	ACER2	brown	protein_coding	False
ACIN1	ACIN1	blue	protein_coding	False
ACKR4P1	ACKR4P1	royalblue	processed_pseudogene	False
ACLY	ACLY	blue	protein_coding	False
ACO1	ACO1	blue	protein_coding	False
ACO2	ACO2	brown	protein_coding	False
ACOD1	ACOD1	pink	protein_coding	False
ACOT1	ACOT1	blue	protein_coding	False
ACOT11	ACOT11	brown	protein_coding	False
ACOT13	ACOT13	brown	protein_coding	False
ACOT2	ACOT2	brown	protein_coding	False
ACOT4	ACOT4	brown	protein_coding	False
ACOT6	ACOT6	black	protein_coding	False
ACOT7	ACOT7	brown	protein_coding	False
ACOT8	ACOT8	blue	protein_coding	False
ACOT9	ACOT9	blue	protein_coding	False
ACOX1	ACOX1	blue	protein_coding	False
ACOX3	ACOX3	brown	protein_coding	False
ACP1	ACP1	blue	protein_coding	False
ACP2	ACP2	blue	protein_coding	False
ACP6	ACP6	brown	protein_coding	False
ACRP1	ACRP1	purple	processed_pseudogene	False
ACSF2	ACSF2	brown	protein_coding	False
ACSF3	ACSF3	brown	protein_coding	False
ACSL4	ACSL4	green	protein_coding	False
ACSM1	ACSM1	black	protein_coding	False
ACSM2B	ACSM2B	purple	protein_coding	False
ACSM4	ACSM4	purple	protein_coding	False
ACSM5	ACSM5	black	protein_coding	False
ACSS2	ACSS2	blue	protein_coding	False
ACTA2-AS1	ACTA2-AS1	blue	lncRNA	True
ACTB	ACTB	blue	protein_coding	False
ACTBL2	ACTBL2	pink	protein_coding	False
ACTBP1	ACTBP1	plum1	processed_pseudogene	False
ACTBP12	ACTBP12	lightcyan	processed_pseudogene	False
ACTBP14	ACTBP14	pink	processed_pseudogene	False
ACTBP16	ACTBP16	yellowgreen	processed_pseudogene	False
ACTBP4	ACTBP4	black	processed_pseudogene	False
ACTBP8	ACTBP8	pink	processed_pseudogene	False
ACTBP9	ACTBP9	purple	processed_pseudogene	False
ACTG1	ACTG1	brown	protein_coding	False
ACTG1P1	ACTG1P1	brown	processed_pseudogene	False
ACTG1P10	ACTG1P10	green	processed_pseudogene	False
ACTG1P13	ACTG1P13	darkred	processed_pseudogene	False
ACTG1P16	ACTG1P16	salmon	transcribed_processed_pseudogene	False
ACTG1P19	ACTG1P19	pink	processed_pseudogene	False
ACTG1P21	ACTG1P21	cyan	processed_pseudogene	False
ACTG1P22	ACTG1P22	orangered4	transcribed_processed_pseudogene	False
ACTG1P23	ACTG1P23	black	processed_pseudogene	False
ACTG1P9	ACTG1P9	pink	processed_pseudogene	False
ACTL10	ACTL10	brown	protein_coding	False
ACTL6A	ACTL6A	brown	protein_coding	False
ACTL6B	ACTL6B	darkturquoise	protein_coding	False
ACTL7A	ACTL7A	sienna3	protein_coding	False
ACTL7B	ACTL7B	white	protein_coding	False
ACTMAP	ACTMAP	blue	protein_coding	False
ACTN1	ACTN1	blue	protein_coding	False
ACTN3	ACTN3	brown	protein_coding	False
ACTN4	ACTN4	blue	protein_coding	False
ACTP1	ACTP1	tan	processed_pseudogene	False
ACTR10	ACTR10	brown	protein_coding	False
ACTR1A	ACTR1A	brown	protein_coding	False
ACTR1B	ACTR1B	brown	protein_coding	False
ACTR3	ACTR3	blue	protein_coding	False
ACTR3B	ACTR3B	blue	protein_coding	False
ACTR3C	ACTR3C	salmon	protein_coding	False
ACTR5	ACTR5	brown	protein_coding	False
ACTR8	ACTR8	blue	protein_coding	False
ACTRT3	ACTRT3	brown	protein_coding	False
ACVR1B	ACVR1B	brown	protein_coding	False
ACVR1C	ACVR1C	green	protein_coding	False
ACVR2B	ACVR2B	blue	protein_coding	False
ACVR2B-AS1	ACVR2B-AS1	blue	lncRNA	True
ACY1	ACY1	blue	protein_coding	False
ACYP1	ACYP1	blue	protein_coding	False
ACYP2	ACYP2	blue	protein_coding	False
ADA	ADA	brown	protein_coding	False
ADAD1	ADAD1	violet	protein_coding	False
ADAL	ADAL	brown	protein_coding	False
ADAM10	ADAM10	green	protein_coding	False
ADAM11	ADAM11	brown	protein_coding	False
ADAM15	ADAM15	blue	protein_coding	False
ADAM17	ADAM17	brown	protein_coding	False
ADAM20	ADAM20	midnightblue	protein_coding	False
ADAMTS1	ADAMTS1	brown	protein_coding	False
ADAMTS13	ADAMTS13	brown	protein_coding	False
ADAMTS19	ADAMTS19	lightsteelblue1	protein_coding	False
ADAMTS20	ADAMTS20	lightcyan1	protein_coding	False
ADAMTS7P1	ADAMTS7P1	darkmagenta	transcribed_unprocessed_pseudogene	False
ADAMTS7P3	ADAMTS7P3	lightcyan1	transcribed_unprocessed_pseudogene	False
ADAMTS7P4	ADAMTS7P4	darkmagenta	transcribed_unprocessed_pseudogene	False
ADAMTS9	ADAMTS9	sienna3	protein_coding	False
ADAMTSL3	ADAMTSL3	royalblue	protein_coding	False
ADAP1	ADAP1	brown	protein_coding	False
ADAP2	ADAP2	brown	protein_coding	False
ADAR	ADAR	blue	protein_coding	False
